data|ExistingDMD (rank=5)|CenteredDMD d=50 e=.99 rmax=20|UnitCircleDMD d=50 e=.99 rmax=20|UnitCircleDMD d=100 e=.99 rmax=40|HAVOK d=100 r=11|HAVOK d=200 r=25
1012.0|815.601|931.203|998.32|920.626|946.883|968.034
1020.0|813.357|928.137|968.795|887.668|925.323|970.434
1018.0|809.808|926.309|939.299|879.479|907.011|969.555
1009.0|805.307|925.799|913.751|892.126|893.74|966.166
990.0|800.297|926.617|895.186|915.975|886.887|961.299
974.0|795.265|928.724|885.312|939.024|887.075|956.075
960.0|790.696|932.024|884.306|950.7|894.254|951.53
952.0|787.027|936.339|890.89|944.953|907.632|948.442
928.0|784.604|941.364|902.679|921.771|925.84|947.248
882.0|783.651|946.658|916.732|886.829|947.044|947.947
844.0|784.248|951.654|930.219|849.538|969.029|950.135
825.0|786.326|955.727|941.044|820.234|989.375|953.067
807.0|789.676|958.298|948.287|807.383|1005.861|955.81
809.0|793.965|958.956|952.344|815.561|1016.68|957.425
830.0|798.776|957.563|954.707|844.631|1020.593|957.119
870.0|803.645|954.3|957.435|890.173|1017.129|954.429
889.0|808.103|949.655|962.444|944.829|1006.594|949.321
918.0|811.729|944.334|970.824|1000.105|990.133|942.219
950.0|814.18|939.121|982.375|1048.087|969.372|933.95
964.0|815.231|934.733|995.515|1082.711|946.402|925.679
986.0|814.791|931.691|1007.621|1100.39|923.631|918.754
1004.0|812.913|930.254|1015.7|1100.037|903.351|914.502
998.0|809.787|930.404|1017.22|1082.633|887.661|914.037
993.0|805.721|931.906|1010.85|1050.618|878.265|918.08
984.0|801.109|934.389|996.9|1007.32|876.192|926.811
981.0|796.397|937.438|977.327|956.569|881.778|939.798
974.0|792.037|940.67|955.305|902.541|894.677|955.999
956.0|788.443|943.768|934.501|849.74|913.884|973.881
944.0|785.954|946.493|918.261|802.948|937.869|991.555
923.0|784.803|948.665|908.935|766.979|964.628|1006.996
877.0|785.093|950.152|907.514|746.13|992.048|1018.294
850.0|786.789|950.855|913.644|743.368|1018.006|1023.888
824.0|789.722|950.718|925.945|759.445|1040.359|1022.766
819.0|793.608|949.746|942.494|792.262|1057.468|1014.638
821.0|798.071|948.023|961.296|836.815|1068.098|999.992
839.0|802.684|945.721|980.582|885.92|1071.697|980.052
865.0|807.007|943.091|998.894|931.701|1068.305|956.678
882.0|810.63|940.435|1014.975|967.505|1058.476|932.145
921.0|813.212|938.062|1027.585|989.704|1043.314|908.869
956.0|814.511|936.247|1035.385|998.742|1024.209|889.144
975.0|814.409|935.192|1036.977|998.986|1002.817|874.892
983.0|812.922|935.004|1031.162|997.269|980.795|867.441
1005.0|810.195|935.691|1017.326|1000.491|959.602|867.385
1007.0|806.495|937.169|995.853|1013.009|940.367|874.543
1008.0|802.175|939.276|968.396|1034.74|924.004|888.024
1004.0|797.651|941.785|937.888|1060.691|911.062|906.322
993.0|793.352|944.431|908.243|1082.223|901.782|927.518
980.0|789.69|946.926|883.769|1089.71|896.16|949.49
966.0|787.01|948.99|868.42|1075.756|893.913|970.152
953.0|785.567|950.384|865.039|1037.839|894.74|987.692
939.0|785.497|950.947|874.755|979.451|898.263|1000.735
925.0|786.803|950.624|896.667|909.251|904.138|1008.453
913.0|789.361|949.484|927.879|838.53|912.123|1010.615
906.0|792.926|947.71|963.882|777.869|921.925|1007.532
892.0|797.158|945.567|999.229|734.226|933.229|999.985
852.0|801.655|943.356|1028.378|709.506|945.745|989.079
826.0|805.989|941.353|1046.584|701.13|959.132|976.092
807.0|809.749|939.767|1050.692|704.309|972.774|962.335
791.0|812.576|938.709|1039.701|715.033|985.975|949.065
781.0|814.204|938.199|1014.994|732.476|997.966|937.366
784.0|814.476|938.192|980.177|759.699|1007.886|928.078
808.0|813.368|938.615|940.523|802.203|1015.05|921.791
854.0|810.985|939.402|902.106|864.784|1018.958|918.839
902.0|807.553|940.514|870.769|947.886|1019.287|919.323
952.0|803.398|941.934|851.113|1044.986|1016.038|923.128
1001.0|798.917|943.638|845.725|1142.277|1009.583|929.947
1018.0|794.536|945.564|854.804|1221.144|1000.608|939.299
1024.0|790.674|947.585|876.265|1262.864|990.055|950.552
1026.0|787.7|949.499|906.284|1254.123|978.917|962.94
1024.0|785.9|951.06|940.155|1191.512|968.334|975.576
1021.0|785.45|952.016|973.228|1083.403|959.374|987.51
1023.0|786.396|952.172|1001.702|948.49|953.007|997.746
1013.0|788.651|951.443|1023.107|811.33|949.925|1005.309
992.0|792.005|949.881|1036.395|696.269|950.487|1009.329
970.0|796.142|947.675|1041.689|621.637|954.75|1009.115
952.0|800.668|945.117|1039.832|595.966|962.136|1004.224
935.0|805.155|942.547|1031.938|617.224|971.711|994.569
918.0|809.172|940.291|1019.087|675.035|982.247|980.489
867.0|812.336|938.608|1002.263|754.828|992.325|962.747
834.0|814.34|937.657|982.505|842.353|1000.578|942.534
820.0|814.988|937.49|961.149|927.012|1005.558|921.395
841.0|814.214|938.067|940.011|1003.07|1006.311|901.154
804.0|812.086|939.276|921.366|1068.74|1002.381|883.747
812.0|808.802|940.963|907.668|1123.915|993.937|871.01
808.0|804.672|942.952|901.063|1167.805|981.405|864.463
794.0|800.088|945.06|902.83|1197.641|965.871|865.174
781.0|795.488|947.103|912.941|1209.058|948.817|873.581
781.0|791.315|948.906|929.91|1197.948|931.888|889.4
776.0|787.972|950.306|950.997|1162.957|916.837|911.623
777.0|785.784|951.175|972.764|1107.419|905.191|938.597
779.0|784.97|951.429|991.812|1039.761|898.12|968.148
770.0|785.617|951.044|1005.518|971.98|896.39|997.78
755.0|787.671|950.067|1012.563|916.567|900.241|1024.907
756.0|790.944|948.609|1013.105|882.878|909.34|1047.109
748.0|795.129|946.834|1008.575|874.246|922.728|1062.38
743.0|799.829|944.936|1001.156|886.859|939.182|1069.337
753.0|804.597|943.119|993.125|910.876|957.236|1067.363
792.0|808.972|941.567|986.224|933.46|975.348|1056.667
873.0|812.531|940.437|981.245|942.766|991.93|1038.271
948.0|814.925|939.84|977.902|931.614|1005.735|1013.886
981.0|815.916|939.838|975.028|899.704|1016.004|985.732
1006.0|815.398|940.434|970.987|853.734|1022.377|956.294
1017.0|813.412|941.578|964.222|805.45|1024.707|928.069
998.0|810.139|943.153|953.759|768.294|1023.162|903.354
997.0|805.887|944.992|939.588|753.698|1018.235|884.044
988.0|801.06|946.884|922.814|768.086|1010.514|871.493
988.0|796.123|948.6|905.56|811.357|1000.844|866.43
976.0|791.552|949.93|890.633|877.124|990.017|868.915
958.0|787.796|950.711|881.017|954.478|978.967|878.398
946.0|785.224|950.863|879.261|1030.659|968.413|893.787
941.0|784.098|950.402|886.903|1093.86|958.996|913.59
931.0|784.537|949.435|904.016|1135.473|951.185|936.063
931.0|786.514|948.141|929.005|1151.322|945.298|959.365
932.0|789.848|946.73|958.719|1141.773|941.523|981.715
928.0|794.228|945.403|988.897|1110.895|939.905|1001.525
925.0|799.237|944.319|1014.885|1065.042|940.437|1017.49
917.0|804.394|943.571|1032.494|1011.321|943.033|1028.654
912.0|809.198|943.186|1038.821|956.306|947.474|1034.441
911.0|813.179|943.141|1032.831|905.267|953.375|1034.668
901.0|815.942|943.383|1015.571|861.951|960.287|1029.531
892.0|817.208|943.852|989.949|828.799|967.741|1019.573
886.0|816.842|944.497|960.129|807.357|975.16|1005.634
880.0|814.865|945.277|930.703|798.627|981.911|988.803
872.0|811.456|946.153|905.841|803.133|987.427|970.345
872.0|806.937|947.075|888.623|820.682|991.208|951.627
866.0|801.74|947.976|880.7|849.914|992.788|934.039
865.0|796.368|948.768|882.306|887.905|991.847|918.897
860.0|791.346|949.355|892.555|930.131|988.309|907.341
858.0|787.167|949.65|909.865|970.976|982.324|900.258
840.0|784.251|949.596|932.349|1004.809|974.229|898.192
814.0|782.894|949.187|958.038|1027.368|964.638|901.303
803.0|783.244|948.471|984.918|1037.021|954.286|909.32
786.0|785.283|947.543|1010.827|1035.38|943.966|921.573
785.0|788.828|946.531|1033.354|1026.949|934.633|937.054
786.0|793.543|945.569|1049.884|1017.736|927.177|954.463
791.0|798.979|944.778|1057.861|1013.209|922.399|972.339
824.0|804.608|944.243|1055.275|1016.235|920.994|989.178
862.0|809.879|944.011|1041.256|1025.77|923.327|1003.577
893.0|814.273|944.088|1016.583|1036.88|929.422|1014.389
917.0|817.349|944.448|983.92|1042.206|938.971|1020.803
937.0|818.793|945.041|947.635|1034.497|951.244|1022.418
955.0|818.449|945.803|913.177|1009.365|965.149|1019.278
973.0|816.335|946.662|886.12|967.266|979.367|1011.866
988.0|812.644|947.539|871.086|913.917|992.456|1001.028
987.0|807.724|948.359|870.791|858.915|1003.127|987.886
976.0|802.051|949.047|885.462|812.932|1010.266|973.709
953.0|796.176|949.541|912.754|784.482|1013.088|959.764
942.0|790.68|949.797|948.188|777.404|1011.16|947.192
915.0|786.106|949.796|985.994|789.998|1004.485|936.9
891.0|782.917|949.544|1020.171|816.168|993.706|929.492
867.0|781.441|949.074|1045.531|848.111|979.855|925.228
826.0|781.839|948.438|1058.52|879.511|964.328|924.029
797.0|784.09|947.7|1057.697|907.961|948.837|925.496
783.0|787.989|946.931|1043.798|935.583|934.922|929.028
772.0|793.166|946.195|1019.444|967.555|924.039|933.938
762.0|799.122|945.556|988.566|1009.059|917.297|939.558
765.0|805.275|945.072|955.683|1061.886|915.312|945.327
784.0|811.019|944.795|925.162|1122.126|918.135|950.856
818.0|815.781|944.766|900.573|1180.037|925.386|955.975
882.0|819.081|945.014|884.233|1222.4|936.179|960.735
931.0|820.581|945.541|877.001|1236.672|949.177|965.333
959.0|820.116|946.317|878.34|1215.508|963.021|970.051
990.0|817.715|947.276|886.616|1159.991|976.221|975.152
1025.0|813.599|948.315|899.565|1080.248|987.307|980.79
1038.0|808.162|949.311|914.823|993.082|995.086|986.95
1031.0|801.932|950.136|930.392|917.27|998.827|993.379
1021.0|795.52|950.683|944.937|868.064|998.215|999.597
1017.0|789.563|950.884|957.848|852.769|993.378|1004.945
993.0|784.656|950.725|969.078|868.869|984.956|1008.668
974.0|781.297|950.243|978.821|905.35|973.965|1010.019
946.0|779.833|949.523|987.165|946.691|961.656|1008.375
919.0|780.428|948.674|993.849|978.129|949.355|1003.368
903.0|783.041|947.809|998.215|990.359|938.306|994.95
857.0|787.43|947.028|999.386|982.116|929.584|983.458
838.0|793.175|946.406|996.613|959.888|924.092|969.613
824.0|799.717|945.987|989.651|935.033|922.106|954.458
816.0|806.412|945.79|979.02|919.475|923.633|939.266
819.0|812.595|945.812|966.043|921.58|928.372|925.407
830.0|817.648|946.041|952.598|943.605|935.608|914.217
868.0|821.058|946.454|940.678|981.471|944.493|906.853
892.0|822.472|947.019|931.872|1026.68|954.053|904.14
899.0|821.733|947.695|926.966|1069.465|963.506|906.526
932.0|818.897|948.426|925.796|1101.862|972.146|913.967
967.0|814.23|949.146|927.424|1119.606|979.248|925.966
1010.0|808.182|949.778|930.576|1122.282|984.426|941.593
1040.0|801.346|950.254|934.194|1111.955|987.522|959.603
1062.0|794.397|950.517|937.902|1091.084|988.627|978.549
1050.0|788.029|950.536|942.202|1060.768|987.923|996.881
1046.0|782.882|950.314|948.316|1020.185|985.73|1013.085
1042.0|779.48|949.886|957.698|967.498|982.322|1025.798
1025.0|778.178|949.313|971.361|901.865|978.071|1033.956
1000.0|779.124|948.672|989.257|825.674|973.318|1036.85
964.0|782.242|948.046|1009.912|745.974|968.329|1034.185
942.0|787.238|947.507|1030.475|674.324|963.299|1026.101
917.0|793.629|947.112|1047.195|624.851|958.302|1013.154
880.0|800.788|946.9|1056.235|610.961|953.44|996.293
833.0|808.006|946.884|1054.595|641.643|948.869|976.784
819.0|814.563|947.057|1040.919|718.507|944.709|956.112
807.0|819.799|947.396|1015.954|834.483|941.084|935.857
801.0|823.18|947.859|982.566|974.632|938.183|917.61
803.0|824.355|948.393|945.285|1118.889|936.211|902.847
813.0|823.189|948.941|909.516|1246.039|935.393|892.807
839.0|819.782|949.443|880.565|1337.896|935.928|888.403
869.0|814.459|949.848|862.722|1382.679|937.944|890.136
899.0|807.737|950.117|858.542|1376.853|941.53|898.06
922.0|800.281|950.233|868.459|1325.14|946.658|911.744
959.0|792.831|950.197|890.769|1238.882|953.127|930.26
973.0|786.134|950.033|921.953|1133.292|960.443|952.247
996.0|780.867|949.773|957.27|1024.333|968.116|975.998
999.0|777.569|949.458|991.503|925.93|975.418|999.601
996.0|776.586|949.127|1019.755|848.05|981.672|1021.082
996.0|778.032|948.812|1038.161|795.906|986.162|1038.583
981.0|781.783|948.534|1044.418|770.241|988.255|1050.515
969.0|787.478|948.312|1038.067|768.391|987.6|1055.716
945.0|794.562|948.157|1020.459|785.723|984.086|1053.577
901.0|802.335|948.083|994.448|816.977|977.936|1044.125
859.0|810.023|948.102|963.852|857.195|969.66|1028.059
834.0|816.856|948.224|932.807|902.102|959.905|1006.676
821.0|822.142|948.452|905.138|948.004|949.5|981.812
815.0|825.342|948.776|883.871|991.476|939.396|955.672
823.0|826.12|949.173|870.968|1029.142|930.558|930.626
851.0|824.382|949.601|867.287|1057.811|923.834|908.956
882.0|820.286|950.009|872.726|1075.021|919.887|892.63
912.0|814.228|950.345|886.438|1079.829|919.164|883.101
950.0|806.803|950.565|907.028|1073.497|921.779|881.136
1002.0|798.748|950.643|932.664|1059.665|927.533|886.746
1032.0|790.867|950.573|961.088|1043.742|935.902|899.19
1049.0|783.955|950.375|989.609|1031.529|946.171|917.067
1056.0|778.712|950.083|1015.158|1027.41|957.404|938.463
1047.0|775.675|949.741|1034.518|1032.715|968.519|961.177
1029.0|775.166|949.395|1044.749|1044.896|978.512|982.957
1010.0|777.252|949.083|1043.769|1057.973|986.433|1001.758
985.0|781.741|948.833|1030.949|1064.254|991.599|1015.967
958.0|788.198|948.665|1007.527|1056.891|993.684|1024.568
943.0|795.987|948.586|976.684|1032.432|992.618|1027.217
911.0|804.335|948.602|943.162|992.449|988.615|1024.247
872.0|812.406|948.71|912.475|943.587|982.23|1016.592
852.0|819.388|948.907|889.839|895.893|974.133|1005.623
837.0|824.574|949.18|879.105|859.911|965.109|992.947
832.0|827.431|949.513|881.941|843.524|956.017|980.221
839.0|827.659|949.879|897.499|849.647|947.624|968.922
852.0|825.219|950.244|922.644|875.615|940.584|960.183
877.0|820.342|950.571|952.701|914.467|935.409|954.659
887.0|813.503|950.824|982.508|957.656|932.303|952.477
901.0|805.381|950.975|1007.499|998.112|931.356|953.281
